,country_name,year_amended,doc_len,country_text_id,dem_year,electoral_democracy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,freedom_expression,freedom_association,suffrage,free_fair_elections,rule_of_law,judicial_constraints,legislative_constraints,regime_type,accountability,presidentialism,civil_liberties,political_exclusion,political_corruption,public_sector_corruption,gender_equality_index,fh_political_rights,fh_civil_liberties,fh_total_score,fh_status
59,Finland,2011,82484,FIN,2024.0,0.827,0.782,0.582,0.736,0.703,0.95,0.814,1.0,0.961,0.977,0.974,0.965,3.0,1.66,0.024,0.944,,0.023,0.017,0.934,40.0,60.0,100.0,F
60,France,2008,90197,FRA,2024.0,0.864,0.8,0.606,0.793,0.724,0.959,0.883,1.0,0.945,0.938,0.945,0.946,3.0,1.649,0.048,0.915,,0.049,0.019,0.929,38.0,51.0,89.0,F
61,Gabon,1997,74525,GAB,2024.0,0.227,0.151,0.208,0.194,0.214,0.755,0.568,1.0,0.0,0.863,0.266,0.145,0.0,0.252,0.733,0.793,,0.724,0.778,0.81,2.0,18.0,20.0,NF
62,Gambia,2004,249538,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Georgia,2004,95297,GEO,2024.0,0.48,0.327,0.282,0.384,0.374,0.701,0.737,1.0,0.474,0.761,0.443,0.648,1.0,0.499,0.493,0.776,,0.188,0.127,0.828,22.0,36.0,58.0,PF
64,German Federal Republic,2012,175294,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Ghana,1996,330586,GHA,2024.0,0.665,0.56,0.318,0.544,0.459,0.857,0.881,1.0,0.657,0.858,0.827,0.877,2.0,1.204,0.145,0.889,,0.638,0.665,0.798,35.0,45.0,80.0,F
66,Greece,2008,169583,GRC,2024.0,0.744,0.565,0.51,0.615,0.647,0.808,0.811,1.0,0.944,0.892,0.776,0.545,2.0,1.239,0.192,0.875,,0.237,0.161,0.914,35.0,50.0,85.0,F
67,Grenada,1992,190118,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Guatemala,1993,195943,GTM,2024.0,0.609,0.492,0.389,0.423,0.298,0.804,0.797,1.0,0.65,0.6,0.962,0.854,2.0,0.988,0.053,0.738,,0.691,0.627,0.723,17.0,29.0,46.0,PF
69,Guinea,2010,80168,GIN,2024.0,0.159,0.075,0.105,0.076,0.139,0.539,0.228,1.0,0.0,0.232,0.263,0.136,0.0,-0.42,0.76,0.323,,0.862,0.885,0.534,7.0,23.0,30.0,NF
70,Guinea Bissau,1991,50694,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Guyana,1995,256662,GUY,2024.0,0.491,0.314,0.283,0.235,0.366,0.788,0.823,1.0,0.414,0.773,0.668,0.266,1.0,0.629,0.364,0.85,,0.507,0.488,0.818,30.0,43.0,73.0,F
72,Haiti,2012,126039,HTI,2024.0,0.237,0.101,0.119,0.194,0.075,0.79,0.612,1.0,0.0,0.486,0.256,0.602,0.0,0.446,0.795,0.741,,0.786,0.708,0.402,11.0,19.0,30.0,NF
73,Honduras,2012,167332,HND,2024.0,0.538,0.383,0.33,0.397,0.278,0.867,0.872,1.0,0.405,0.761,0.816,0.423,2.0,0.848,0.234,0.821,,0.749,0.748,0.8,22.0,26.0,48.0,PF
74,Hungary,2011,96078,HUN,2024.0,0.444,0.325,0.278,0.186,0.313,0.512,0.655,1.0,0.605,0.872,0.63,0.497,1.0,0.446,0.367,0.824,,0.494,0.202,0.832,24.0,41.0,65.0,PF
75,Iceland,1999,25334,ISL,2024.0,0.842,0.757,0.605,0.759,0.764,0.912,0.918,1.0,0.924,0.974,0.946,0.818,3.0,1.552,0.052,0.953,,0.023,0.017,0.891,37.0,57.0,94.0,F
76,India,2012,616928,IND,2024.0,0.381,0.281,0.246,0.279,0.201,0.477,0.57,1.0,0.499,0.563,0.71,0.631,1.0,0.4,0.296,0.535,,0.681,0.692,0.629,33.0,33.0,66.0,PF
77,Indonesia,2002,37591,IDN,2024.0,0.496,0.332,0.323,0.422,0.3,0.741,0.683,1.0,0.528,0.649,0.59,0.551,1.0,0.683,0.375,0.7,,0.767,0.731,0.73,29.0,28.0,57.0,PF
78,Iran,1989,102919,IRN,2024.0,0.166,0.088,0.042,0.108,0.152,0.23,0.09,1.0,0.23,0.314,0.116,0.339,1.0,-0.54,0.834,0.252,,0.783,0.661,0.327,4.0,7.0,11.0,NF
79,Iraq,2005,75873,IRQ,2024.0,0.361,0.21,0.218,0.258,0.216,0.533,0.586,1.0,0.364,0.425,0.338,0.599,1.0,0.408,0.577,0.515,,0.85,0.741,0.588,16.0,14.0,30.0,NF
80,Ireland,2012,94835,IRL,2024.0,0.895,0.83,0.626,0.814,0.783,0.974,0.912,1.0,0.953,0.975,0.957,0.888,3.0,1.766,0.039,0.957,,0.032,0.02,0.921,39.0,58.0,97.0,F
81,Israel,2013,108724,ISR,2024.0,0.702,0.597,0.461,0.542,0.559,0.838,0.758,1.0,0.873,0.835,0.857,0.883,2.0,1.225,0.099,0.789,,0.111,0.088,0.872,34.0,40.0,74.0,F
82,Italy,2012,74228,ITA,2024.0,0.784,0.687,0.605,0.673,0.693,0.835,0.875,1.0,0.945,0.945,0.767,0.953,3.0,1.515,0.147,0.907,,0.182,0.112,0.922,36.0,54.0,90.0,F
83,Jamaica,1994,224354,JAM,2024.0,0.798,0.676,0.531,0.613,0.65,0.919,0.881,1.0,0.868,0.892,0.88,0.783,2.0,1.419,0.087,0.879,,0.19,0.167,0.943,33.0,47.0,80.0,F
84,Japan,1946,31269,JPN,2024.0,0.822,0.737,0.526,0.732,0.752,0.849,0.925,1.0,0.942,0.958,0.881,0.901,3.0,1.494,0.094,0.925,,0.05,0.036,0.795,40.0,56.0,96.0,F
85,Jordan,2011,62163,JOR,2024.0,0.274,0.27,0.129,0.258,0.211,0.575,0.592,1.0,0.532,0.782,0.766,0.746,0.0,0.618,0.219,0.676,,0.43,0.321,0.633,11.0,22.0,33.0,NF
86,Kazakhstan,1998,87391,KAZ,2024.0,0.267,0.133,0.123,0.188,0.205,0.359,0.294,1.0,0.339,0.54,0.147,0.267,1.0,-0.168,0.812,0.515,,0.729,0.608,0.728,5.0,18.0,23.0,NF
87,Kenya,2010,300677,KEN,2024.0,0.557,0.437,0.358,0.457,0.343,0.897,0.782,1.0,0.496,0.7,0.788,0.812,2.0,1.005,0.183,0.741,,0.556,0.577,0.803,22.0,30.0,52.0,PF
88,Kiribati,1995,154936,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Kosovo,2008,128022,XKX,2024.0,0.648,0.471,0.361,0.393,0.461,0.755,0.837,1.0,0.757,0.765,0.648,0.675,2.0,0.943,0.283,0.809,,0.272,0.3,0.751,28.0,32.0,60.0,PF
90,Kuwait,1992,52620,KWT,2024.0,0.198,0.179,0.065,0.197,0.198,0.565,0.092,1.0,0.25,0.612,0.738,0.788,0.0,0.329,0.247,0.508,,0.315,0.406,0.365,14.0,24.0,38.0,PF
91,Kyrgyz Republic,2010,90313,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Laos,2003,41664,LAO,2024.0,0.135,0.117,0.113,0.056,0.125,0.038,0.047,1.0,0.226,0.182,0.572,0.403,0.0,-0.918,0.535,0.148,,0.752,0.694,0.494,2.0,11.0,13.0,NF
93,Latvia,2007,29797,LVA,2024.0,0.834,0.759,0.594,0.698,0.722,0.932,0.877,1.0,0.924,0.974,0.942,0.863,3.0,1.566,0.044,0.938,,0.071,0.085,0.951,37.0,51.0,88.0,F
94,Lebanon,2004,39610,LBN,2024.0,0.347,0.226,0.194,0.27,0.216,0.726,0.7,1.0,0.307,0.577,0.512,0.463,1.0,0.472,0.498,0.671,,0.842,0.885,0.607,13.0,29.0,42.0,PF
95,Lesotho,1998,250078,LSO,2024.0,0.652,0.507,0.398,0.491,0.499,0.708,0.873,1.0,0.785,0.797,0.789,0.725,2.0,1.077,0.161,0.793,,0.554,0.657,0.781,30.0,36.0,66.0,F
96,Liberia,1986,73349,LBR,2024.0,0.61,0.398,0.329,0.494,0.4,0.836,0.845,1.0,0.592,0.784,0.581,0.461,2.0,0.919,0.356,0.837,,0.877,0.84,0.831,30.0,34.0,64.0,PF
97,Libya,2011,18926,LBY,2024.0,0.195,0.109,0.087,0.234,0.129,0.558,0.508,1.0,0.0,0.123,0.303,0.504,0.0,0.185,0.58,0.332,,0.819,0.785,0.434,1.0,8.0,9.0,NF
98,Liechtenstein,2003,58465,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Lithuania,2006,88146,LTU,2024.0,0.798,0.732,0.578,0.649,0.696,0.933,0.84,1.0,0.892,0.93,0.94,0.958,2.0,1.451,0.041,0.918,,0.169,0.177,0.924,38.0,51.0,89.0,F
100,Luxembourg,2009,37792,LUX,2024.0,0.869,0.781,0.561,0.824,0.803,0.957,0.895,1.0,0.944,0.98,0.867,0.879,3.0,1.657,0.084,0.946,,0.029,0.023,0.903,38.0,59.0,97.0,F
101,Macedonia,2011,84882,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Madagascar,2010,94440,MDG,2024.0,0.403,0.201,0.236,0.187,0.179,0.658,0.847,1.0,0.235,0.547,0.244,0.343,1.0,0.402,0.721,0.689,,0.883,0.892,0.714,24.0,34.0,58.0,PF
103,Malawi,1999,203337,MWI,2024.0,0.563,0.472,0.366,0.445,0.326,0.784,0.757,1.0,0.599,0.811,0.775,0.922,2.0,1.056,0.164,0.796,,0.721,0.807,0.764,29.0,37.0,66.0,PF
104,Malaysia,1996,378646,MYS,2024.0,0.513,0.359,0.309,0.368,0.376,0.593,0.793,1.0,0.598,0.705,0.777,0.481,2.0,0.566,0.289,0.743,,0.322,0.236,0.772,22.0,31.0,53.0,PF
105,Maldives,2008,151966,MDV,2024.0,0.577,0.435,0.326,0.424,0.373,0.738,0.793,1.0,0.654,0.715,0.781,0.691,2.0,0.855,0.222,0.746,,0.411,0.312,0.538,21.0,23.0,44.0,PF
106,Mali,1992,48641,MLI,2024.0,0.192,0.141,0.169,0.218,0.196,0.589,0.449,1.0,0.0,0.597,0.587,0.096,0.0,-0.084,0.598,0.609,,0.718,0.819,0.729,6.0,20.0,26.0,NF
107,Malta,2011,188844,MLT,2024.0,0.783,0.621,0.538,0.642,0.694,0.829,0.902,1.0,0.903,0.929,0.785,0.614,2.0,1.199,0.176,0.915,,0.186,0.181,0.916,35.0,52.0,87.0,F
108,Marshall Islands,1995,127289,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mauritania,2012,47862,MRT,2024.0,0.337,0.136,0.227,0.231,0.151,0.646,0.436,1.0,0.292,0.288,0.167,0.327,1.0,0.229,0.772,0.531,,0.853,0.841,0.577,15.0,24.0,39.0,PF
