,country,year,n_tokens,n_matched,pct_matched,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,country_clean,electoral_democracy,liberal_democracy,participatory_democracy
26,Cape Verde,1992,29314,3018,0.10295421982670397,0.17229953611663354,0.34625579854208083,0.061298873426110005,0.26507620941020543,0.2799867461895295,0.13320079522862824,0.09211398277004638,0.6116633532140491,0.476805831676607,Cape Verde,0.714,0.635,0.392
27,Central African Republic,2010,10803,1182,0.1094140516523188,0.17258883248730963,0.3866328257191201,0.04483925549915398,0.24111675126903553,0.2571912013536379,0.10998307952622674,0.07868020304568528,0.6675126903553299,0.5482233502538071,Central African Republic,0.343,0.193,0.158
28,Chad,2005,11518,1305,0.11330092029866297,0.12720306513409962,0.4314176245210728,0.045210727969348656,0.21226053639846743,0.31877394636015327,0.09042145593869731,0.06590038314176246,0.7042145593869732,0.5770114942528736,Chad,0.274,0.096,0.14
29,Chile,2012,28701,2361,0.08226194209261001,0.20415078356628547,0.32867429055484965,0.11986446421008047,0.2723422278695468,0.23295213892418468,0.14527742481999154,0.06056755612028801,0.6001694197373995,0.3439220669207963,Chile,0.893,0.844,0.581
30,China,2004,11349,996,0.08776103621464446,0.1636546184738956,0.39357429718875503,0.19879518072289157,0.22188755020080322,0.3102409638554217,0.12550200803212852,0.07028112449799197,0.6556224899598394,0.4407630522088353,China,0.102,0.073,0.054
31,Colombia,2005,46709,4177,0.08942602068123916,0.13239166866171895,0.38903519272204934,0.07469475700263346,0.2171414891070146,0.3002154656451999,0.10055063442662197,0.06248503710797223,0.6384965286090496,0.5168781422073259,Colombia,0.542,0.428,0.378
32,Comoros,2009,6226,592,0.09508512688724703,0.11824324324324324,0.3614864864864865,0.033783783783783786,0.19256756756756757,0.2972972972972973,0.09121621621621621,0.08614864864864864,0.7280405405405406,0.6368243243243243,Comoros,0.418,0.232,0.267
33,Costa Rica,2011,17280,1447,0.08373842592592592,0.13476157567380787,0.43192812715964063,0.06496199032480995,0.18797512093987562,0.3655839668279198,0.11955770559778853,0.06427090532135453,0.6613683483068418,0.5328265376641327,Costa Rica,0.91,0.856,0.7
34,Croatia,2001,12297,1195,0.09717817353826136,0.1907949790794979,0.400836820083682,0.055230125523012555,0.301255230125523,0.3205020920502092,0.11715481171548117,0.08535564853556485,0.6167364016736402,0.4535564853556485,Croatia,0.767,0.622,0.477
35,Cuba,2002,12888,1144,0.08876474239602732,0.1451048951048951,0.4117132867132867,0.05856643356643357,0.22465034965034966,0.3715034965034965,0.11101398601398602,0.07867132867132867,0.6687062937062938,0.5996503496503497,Cuba,0.113,0.041,0.043
36,Cyprus,2013,35753,2516,0.07037171705870836,0.24403815580286167,0.4236883942766296,0.07432432432432433,0.32869634340222575,0.20588235294117646,0.17527821939586646,0.05763116057233704,0.5639904610492846,0.3612877583465819,Cyprus,0.847,0.732,0.578
37,Czech Republic,2002,14484,1269,0.0876139188069594,0.1765169424743893,0.37746256895193064,0.055161544523246654,0.2631993695823483,0.32308904649330183,0.1095350669818755,0.08747044917257683,0.6540583136327817,0.4594168636721828,Czechia,0.884,0.808,0.582
38,Democratic Republic of the Congo,2011,20314,1907,0.09387614453086542,0.17199790246460409,0.40587309910854746,0.06345044572627163,0.264813843733613,0.27739905610907184,0.10277923439958049,0.0681699003670687,0.6119559517566859,0.46670162558993183,Democratic Republic of the Congo,0.347,0.15,0.226
39,Denmark,1953,6238,384,0.06155819172811799,0.1875,0.3958333333333333,0.07552083333333333,0.3229166666666667,0.2526041666666667,0.18229166666666666,0.11458333333333333,0.53125,0.3723958333333333,Denmark,0.902,0.865,0.686
40,Djibouti,2010,6458,710,0.1099411582533292,0.09859154929577464,0.3929577464788732,0.0323943661971831,0.1676056338028169,0.29577464788732394,0.07323943661971831,0.04929577464788732,0.7450704225352113,0.6408450704225352,Djibouti,0.242,0.113,0.133
41,Dominican Republic,2010,29208,2579,0.08829772665023282,0.1345482745250097,0.4354400930593253,0.08336564559906941,0.19852656068243504,0.3396665374176037,0.11244668476153548,0.07018224117875145,0.6498642884839085,0.5777433113609927,Dominican Republic,0.625,0.371,0.406
42,East Timor,2002,15302,1551,0.10135929943798197,0.2005157962604771,0.39974210186976145,0.07994842037395229,0.2901353965183752,0.30303030303030304,0.14377820760799484,0.09993552546744036,0.5693101225016118,0.38684719535783363,Timor-Leste,0.561,0.417,0.249
43,Ecuador,2008,55529,5106,0.09195195303355004,0.14786525656090874,0.43791617704661184,0.060125342734038384,0.2072072072072072,0.3019976498237368,0.10164512338425381,0.0681551116333725,0.6153544849197023,0.5665883274578927,Ecuador,0.634,0.343,0.469
44,Egypt,2014,20769,1850,0.08907506379700515,0.1589189189189189,0.4362162162162162,0.05783783783783784,0.22702702702702704,0.3318918918918919,0.09081081081081081,0.0827027027027027,0.6448648648648648,0.5502702702702703,Egypt,0.137,0.085,0.052
45,El Salvador,2003,23047,2233,0.09688896602594697,0.16614420062695925,0.412897447380206,0.059113300492610835,0.22167487684729065,0.34214061800268697,0.12628750559785043,0.06851768920734438,0.6054635020152261,0.5235109717868338,El Salvador,0.537,0.332,0.331
46,Equatorial Guinea,1995,5414,543,0.10029553010712966,0.08103130755064457,0.44014732965009207,0.02394106813996317,0.13996316758747698,0.3756906077348066,0.05156537753222836,0.0570902394106814,0.8011049723756906,0.7311233885819521,Equatorial Guinea,0.181,0.052,0.052
47,Eritrea,1997,6798,731,0.10753162694910268,0.1354309165526676,0.2982216142270862,0.049247606019151846,0.18604651162790697,0.3064295485636115,0.11491108071135431,0.1012311901504788,0.7414500683994528,0.5950752393980848,Eritrea,0.131,0.039,0.019
48,Estonia,2003,11437,1042,0.09110780799160619,0.21976967370441458,0.3522072936660269,0.09117082533589252,0.4069097888675624,0.30710172744721687,0.11708253358925144,0.08157389635316699,0.5431861804222649,0.3666026871401152,Estonia,0.868,0.808,0.641
49,Ethiopia,1994,13689,1099,0.08028343925779823,0.18653321201091902,0.4249317561419472,0.05823475887170155,0.2948134667879891,0.3448589626933576,0.16469517743403095,0.10373066424021839,0.5823475887170154,0.37488626023657873,Ethiopia,0.195,0.084,0.081
50,Fiji,2013,41806,2816,0.06735875233220112,0.18963068181818182,0.3270596590909091,0.07386363636363637,0.2897727272727273,0.14879261363636365,0.12713068181818182,0.045454545454545456,0.6061789772727273,0.4314630681818182,Fiji,0.14,0.114,0.087
51,Finland,2011,13183,1014,0.07691724190245013,0.17455621301775148,0.34023668639053256,0.055226824457593686,0.33136094674556216,0.26331360946745563,0.09763313609467456,0.0641025641025641,0.5562130177514792,0.35601577909270216,Finland,0.884,0.843,0.626
52,France,2008,14473,1153,0.07966558419125268,0.11188204683434519,0.39375542064180397,0.04336513443191674,0.2263660017346054,0.26019080659150046,0.1049436253252385,0.07892454466608846,0.6478751084128361,0.4978317432784042,France,0.885,0.816,0.659
53,Gabon,1997,11811,1217,0.10303953941241216,0.161873459326212,0.4256368118323747,0.03368940016433854,0.2654067378800329,0.26047658175842237,0.11339359079704191,0.08709942481511915,0.6351684470008216,0.5110928512736237,Gabon,0.338,0.203,0.235
54,Gambia,2004,41517,3932,0.09470819182503552,0.21286876907426247,0.3535096642929807,0.0676500508646999,0.30645981688708035,0.1650559511698881,0.11317395727365208,0.04577822990844354,0.5701932858596134,0.4440488301119023,The Gambia,0.257,0.116,0.156
55,Georgia,2004,15407,1342,0.08710326474978906,0.15797317436661698,0.2600596125186289,0.044709388971684055,0.3554396423248882,0.22280178837555886,0.13859910581222057,0.07973174366616989,0.5514157973174366,0.36661698956780925,Georgia,0.548,0.357,0.323
56,German Federal Republic,2012,27827,1925,0.06917741761598448,0.20103896103896104,0.3548051948051948,0.07532467532467532,0.3381818181818182,0.27324675324675324,0.1807792207792208,0.06337662337662338,0.5558441558441558,0.2898701298701299,Germany,0.899,0.863,0.652
57,Ghana,1996,53700,4660,0.08677839851024209,0.20278969957081544,0.41695278969957084,0.07296137339055794,0.30472103004291845,0.18068669527896997,0.10643776824034334,0.044420600858369096,0.5924892703862661,0.42682403433476396,Ghana,0.513,0.425,0.272
58,Greece,2008,27264,2137,0.07838174882629108,0.21385119326158167,0.3575105287786617,0.07346747777257838,0.33036967711745435,0.25175479644361254,0.14459522695367338,0.07112774918109499,0.5105287786616752,0.3214787084698175,Greece,0.9,0.811,0.614
59,Guatemala,1993,30479,2590,0.08497654122510581,0.14208494208494207,0.41235521235521233,0.12007722007722008,0.1915057915057915,0.3324324324324324,0.12393822393822394,0.0637065637065637,0.6351351351351351,0.48841698841698844,Guatemala,0.385,0.216,0.246
60,Guinea,2010,12810,1334,0.10413739266198282,0.1724137931034483,0.4160419790104948,0.04122938530734633,0.2383808095952024,0.2571214392803598,0.10044977511244378,0.06671664167916042,0.6596701649175413,0.5862068965517241,Guinea,0.236,0.092,0.196
61,Guinea Bissau,1991,7830,777,0.09923371647509578,0.08622908622908623,0.40283140283140284,0.04504504504504504,0.16988416988416988,0.3680823680823681,0.07850707850707851,0.05662805662805663,0.7027027027027027,0.6435006435006435,Guinea-Bissau,0.101,0.048,0.068
62,Guyana,1995,42802,3605,0.08422503621326106,0.18307905686546463,0.3120665742024965,0.09542302357836338,0.29375866851595006,0.16754507628294035,0.13536754507628293,0.04549237170596394,0.6210818307905687,0.4097087378640777,Guyana,0.444,0.298,0.23
63,Haiti,2012,20283,2178,0.10738056500517675,0.13406795224977044,0.485307621671258,0.03856749311294766,0.2130394857667585,0.4003673094582185,0.10055096418732783,0.05647382920110193,0.7006427915518825,0.5918273645546372,Haiti,0.438,0.268,0.257
64,Honduras,2012,25999,2488,0.09569598830724259,0.15916398713826366,0.4159967845659164,0.12339228295819936,0.22106109324758844,0.3597266881028939,0.12379421221864952,0.06471061093247589,0.6471061093247589,0.49397106109324757,Honduras,0.418,0.24,0.271
65,Hungary,2011,15282,1397,0.09141473629106138,0.14316392269148176,0.294201861130995,0.05511811023622047,0.28990694345025053,0.2641374373657838,0.14173228346456693,0.09949892627057981,0.6027201145311382,0.39012168933428776,Hungary,0.778,0.639,0.551
66,Iceland,1999,4178,378,0.09047391096218287,0.18518518518518517,0.4523809523809524,0.08465608465608465,0.18253968253968253,0.3835978835978836,0.15608465608465608,0.07407407407407407,0.6798941798941799,0.5,Iceland,0.868,0.781,0.615
67,India,2012,102802,6290,0.061185580047080794,0.16883942766295706,0.42130365659777425,0.04356120826709062,0.2794912559618442,0.24594594594594596,0.131637519872814,0.046104928457869634,0.6046104928457869,0.4276629570747218,India,0.659,0.525,0.434
68,Indonesia,2002,6030,545,0.09038142620232173,0.11009174311926606,0.4073394495412844,0.045871559633027525,0.2,0.3688073394495413,0.05137614678899083,0.060550458715596334,0.7486238532110092,0.6587155963302752,Indonesia,0.666,0.512,0.424
69,Iran,1989,16353,1619,0.099003240995536,0.14021000617665225,0.3971587399629401,0.0592958616429895,0.2520074119827054,0.291537986411365,0.14638665843113033,0.08956145768993205,0.6893143915997529,0.48548486720197653,Iran,0.168,0.108,0.062
70,Iraq,2005,11772,1303,0.11068637444784234,0.11972371450498849,0.5656178050652341,0.0498848810437452,0.16500383729854182,0.4182655410590944,0.08135072908672294,0.04911742133537989,0.7620874904067536,0.6546431312356101,Iraq,0.237,0.107,0.185
71,Ireland,2012,16017,1126,0.07030030592495473,0.21936056838365897,0.37211367673179396,0.03996447602131439,0.3019538188277087,0.27087033747779754,0.11190053285968028,0.08703374777975133,0.6083481349911191,0.4511545293072824,Ireland,0.897,0.822,0.644
72,Israel,2013,18294,1467,0.08019022630370613,0.1683708248125426,0.299931833674165,0.05248807089297887,0.36264485344239944,0.2842535787321063,0.15610088616223586,0.08793456032719836,0.556237218813906,0.23244717109747784,Israel,0.734,0.655,0.467
73,Italy,2012,11642,1167,0.10024050850369352,0.11996572407883462,0.46186803770351326,0.03941730934018852,0.18766066838046272,0.4155955441302485,0.23221936589545844,0.1790916880891174,0.5629820051413882,0.5741216795201372,Italy,0.869,0.793,0.688
74,Jamaica,1994,37855,2653,0.07008321225729758,0.23407463249151902,0.3754240482472672,0.07425555974368639,0.3113456464379947,0.1632114587259706,0.17037316245759518,0.05804749340369393,0.551828119110441,0.3056916698077648,Jamaica,0.623,0.486,0.387
75,Japan,1946,5098,476,0.09336994899960768,0.17016806722689076,0.48739495798319327,0.07563025210084033,0.20378151260504201,0.4264705882352941,0.1407563025210084,0.0861344537815126,0.6239495798319328,0.49789915966386555,Japan,0.309,0.275,0.193
76,Jordan,2011,10362,735,0.07093225246091488,0.16054421768707483,0.46258503401360546,0.061224489795918366,0.24353741496598638,0.38095238095238093,0.1523809523809524,0.07891156462585033,0.6489795918367347,0.46802721088435373,Jordan,0.247,0.215,0.097
77,Kazakhstan,1998,13738,1095,0.07970592517105837,0.1689497716894977,0.32054794520547947,0.0684931506849315,0.2968036529680365,0.2684931506849315,0.1278538812785388,0.09406392694063927,0.582648401826484,0.38995433789954337,Kazakhstan,0.284,0.134,0.108
78,Kenya,2010,46633,3821,0.08193768361460768,0.13713687516356973,0.34231876472127715,0.05103376079560325,0.2174823344674169,0.2457471866003664,0.09657157812091076,0.04972520282648522,0.6456425019628369,0.5317979586495681,Kenya,0.427,0.361,0.288
79,Kosovo,2008,19795,1962,0.09911593836827481,0.1564729867482161,0.33893985728848114,0.06320081549439348,0.24108053007135577,0.2471967380224261,0.12334352701325178,0.09021406727828746,0.6809378185524975,0.5224260958205912,Kosovo,0.512,0.362,0.289
80,Kuwait,1992,8500,928,0.10917647058823529,0.09913793103448276,0.3954741379310345,0.0334051724137931,0.1627155172413793,0.41487068965517243,0.07974137931034483,0.0668103448275862,0.7230603448275862,0.6648706896551724,Kuwait,0.201,0.236,0.073
81,Kyrgyz Republic,2010,14318,1318,0.09205196256460399,0.20030349013657056,0.33990895295902884,0.0834597875569044,0.3520485584218513,0.2898330804248862,0.12898330804248861,0.09939301972685888,0.5538694992412747,0.3141122913505311,Kyrgyzstan,0.381,0.26,0.237
